"gene_id","G13_C_1","G13_C_2","G13_C_4","G13_N_1","G13_N_2","G13_N_3","G18_C_1","G18_C_2","G18_C_4","G18_N_1","G18_N_2","G18_N_3","G3_C_2","G3_C_3","G3_C_4","G3_N_1","G3_N_3","G3_N_4","G8_C_2","G8_C_3","G8_C_4","G8_N_1","G8_N_2","G8_N_3"
"Zm00001eb160790",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb160810",664,775,558,580,710,705,439,979,294,849,886,589,388,632,742,673,328,547,655,1273,803,617,775,906
"Zm00001eb160820",1115,879,569,672,512,325,79,107,27,414,466,200,369,181,137,208,101,108,663,312,431,182,941,731
"Zm00001eb160830",571,441,556,1839,1195,2339,536,458,169,931,690,510,372,423,451,564,253,463,1271,1546,799,409,1393,710
"Zm00001eb160840",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb160850",1,2,0,1,0,3,2,5,1,3,6,0,3,0,0,6,2,1,7,2,2,2,1,8
"Zm00001eb160860",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb160870",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb160880",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb160890",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb160900",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Zm00001eb160910",0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,10,3,0,0
"Zm00001eb160920",0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb160930",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,2,1,0
"Zm00001eb160940",4,0,1,1,5,0,2,0,0,9,0,1,0,5,0,0,0,0,3,0,0,10,0,0
"Zm00001eb160960",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb160970",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,2,3,0
"Zm00001eb160980",8,0,2,1,1,0,2,0,1,8,0,11,8,11,26,4,0,2,22,0,5,51,3,2
"Zm00001eb160990",32,19,49,48,58,90,9,21,3,35,12,10,12,12,42,24,17,24,23,45,21,13,32,31
"Zm00001eb161000",5,8,2,1,0,1,0,0,0,4,4,3,4,0,76,27,12,2,3,2,0,4,5,1
"Zm00001eb161010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb161030",551,447,335,505,386,416,508,707,384,503,645,528,198,287,399,312,174,281,651,810,722,358,618,393
"Zm00001eb161040",788,523,664,1010,662,945,739,714,497,1156,921,739,399,589,1151,1305,529,847,909,1250,781,604,934,464
"Zm00001eb161050",40,17,65,189,90,120,13,54,9,27,71,19,59,69,58,93,24,32,79,136,55,29,41,113
"Zm00001eb161060",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb161070",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,2,4,0
"Zm00001eb161080",278,228,208,395,212,330,145,275,86,191,179,167,160,227,190,216,71,96,171,202,174,99,140,64
"Zm00001eb161090",55,51,38,150,66,150,33,20,9,15,23,31,12,12,13,22,7,24,27,69,19,37,50,62
"Zm00001eb161100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb161110",11,21,8,120,8,38,7,0,4,1,0,4,0,2,0,5,0,0,25,13,5,0,14,3
"Zm00001eb161120",300,181,68,13,5,2,14,30,9,20,34,17,500,205,199,48,68,156,520,679,530,31,194,115
"Zm00001eb161130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb161140",0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0
"Zm00001eb161150",1,2,0,6,0,2,10,23,4,4,13,5,15,34,51,11,10,22,37,47,16,15,15,5
"Zm00001eb161160",3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,2,29,0,30,19,7,0
"Zm00001eb161170",786,504,659,872,612,739,443,577,261,675,625,483,280,557,673,788,381,545,460,974,523,453,536,517
"Zm00001eb161180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb161190",15,36,23,18,35,32,0,7,6,6,6,3,7,0,5,0,0,5,0,5,1,0,0,0
"Zm00001eb161200",562,764,812,692,720,1803,107,377,116,454,483,388,192,590,607,695,451,583,250,647,222,161,700,678
"Zm00001eb161210",0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,5,0,0,2,6,0
"Zm00001eb161220",30,48,52,23,53,64,9,22,7,15,17,6,21,101,45,75,60,65,0,5,0,9,1,2
"Zm00001eb161230",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb161240",0,5,0,0,0,0,0,0,0,0,2,4,0,9,0,0,0,0,0,0,0,0,0,0
"Zm00001eb161250",36,16,38,41,3,7,12,27,12,645,70,177,0,2,25,536,1,2,38,0,64,154,5,0
"Zm00001eb161260",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb161270",309,198,345,293,244,450,187,466,143,313,440,258,202,507,640,428,250,355,481,757,463,121,307,274
"Zm00001eb161280",113,153,128,255,194,321,9,42,3,24,38,14,0,1,0,10,2,5,10,0,3,14,29,40
"Zm00001eb161290",57,40,44,174,58,94,27,90,25,29,43,27,16,17,8,49,25,10,17,10,5,17,20,10
"Zm00001eb161310",229,319,372,593,359,552,97,201,87,192,203,208,160,144,255,205,57,139,186,207,192,73,91,117
"Zm00001eb161320",289,303,350,454,403,554,196,393,143,399,417,258,158,202,311,304,135,219,225,478,232,186,239,251
"Zm00001eb161340",322,296,285,177,233,250,81,192,63,185,132,132,145,222,276,236,135,191,156,458,208,133,165,118
"Zm00001eb161350",0,4,0,10,0,3,0,0,0,0,1,0,0,0,3,1,1,0,0,3,0,2,0,0
"Zm00001eb161360",937,388,316,2141,614,608,256,476,171,510,1032,610,344,270,198,440,242,220,629,747,1028,846,1224,768
"Zm00001eb161380",46,41,22,31,17,23,39,32,22,33,38,26,54,46,58,54,28,28,10,21,28,6,17,10
"Zm00001eb161390",13,16,1,0,0,2,20,20,39,0,7,2,16479,3637,2469,138,45,476,686,37,1053,118,11,15
"Zm00001eb161400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb161410",0,0,0,0,0,0,0,0,0,0,0,0,1980,408,134,7,2,28,117,7,119,14,7,0
"Zm00001eb161420",414,405,441,245,440,258,166,244,92,233,276,170,164,259,717,821,214,330,422,434,532,195,287,283
"Zm00001eb161430",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb161440",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb161450",89,87,94,53,40,92,40,116,50,69,136,67,47,62,96,111,51,99,188,318,203,109,149,114
"Zm00001eb161460",49,91,48,19,36,16,127,135,123,290,305,419,246,247,163,178,136,171,334,639,402,303,469,396
"Zm00001eb161470",12,14,10,8,12,14,4,12,0,2,0,0,3,4,0,0,0,1,1,6,4,0,0,0
"Zm00001eb161480",50,26,16,66,29,45,7,28,9,44,51,16,36,61,23,86,42,38,21,47,32,47,62,36
"Zm00001eb161490",782,646,762,1323,760,1021,298,525,184,405,484,340,292,425,506,629,205,288,456,621,566,360,341,391
"Zm00001eb161500",55,10,17,98,37,38,5,6,5,6,5,16,63,5,18,62,0,11,55,11,24,17,3,6
"Zm00001eb161510",246,265,283,226,218,313,77,221,74,153,222,142,159,183,212,148,122,126,259,275,202,106,260,183
"Zm00001eb161520",322,380,331,463,358,446,30,66,35,77,64,54,88,65,131,148,62,57,278,274,282,172,232,298
"Zm00001eb161530",70,101,61,35,44,31,40,88,51,69,49,82,24,30,36,30,19,25,128,135,136,109,95,106
"Zm00001eb161540",1,0,5,8,0,2,9,32,2,17,7,6,0,3,4,1,4,0,0,19,2,2,21,9
"Zm00001eb161550",32,20,33,76,41,70,0,0,0,0,0,0,0,6,0,0,0,0,0,4,2,6,1,0
"Zm00001eb161560",115,33,118,265,49,82,45,5,5,4,6,9,0,26,43,12,0,0,282,16,92,116,33,4
"Zm00001eb161570",503,472,491,732,541,506,136,305,114,215,218,180,156,194,361,278,109,134,284,357,268,160,226,234
"Zm00001eb161580",96,82,139,118,68,218,20,40,4,24,55,19,67,55,109,94,43,71,89,128,69,56,130,75
"Zm00001eb161590",104,73,117,244,148,299,37,69,14,42,55,37,55,51,123,55,45,53,104,91,97,74,80,93
"Zm00001eb161610",32,2,61,66,9,667,14,47,8,30,120,16,7,122,102,19,66,49,54,77,49,6,39,53
"Zm00001eb161620",25,5,21,20,15,51,0,0,1,4,10,3,4,2,2,6,0,5,9,0,5,18,5,4
"Zm00001eb161640",156,141,181,326,222,439,71,189,62,226,147,112,146,192,206,303,113,180,220,267,254,179,230,179
"Zm00001eb161660",103,231,144,592,398,591,281,275,170,303,422,239,125,69,130,245,132,180,139,314,108,218,209,119
"Zm00001eb161670",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb161680",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb161690",1157,1046,978,1304,1168,1200,712,932,417,1017,1072,884,682,920,1180,1361,643,882,928,1410,1000,665,1039,827
"Zm00001eb161700",169,169,215,204,210,171,173,266,138,248,377,248,232,294,251,570,283,422,195,447,263,166,314,149
"Zm00001eb161710",396,256,243,900,509,713,56,107,36,110,143,75,201,148,185,293,179,203,106,203,176,142,207,130
"Zm00001eb161720",62,31,65,168,119,358,26,75,17,48,95,46,28,71,67,46,50,52,57,127,55,67,59,38
"Zm00001eb161730",4,17,10,23,12,12,5,2,0,0,6,1,0,0,0,2,0,1,0,0,0,0,0,0
"Zm00001eb161740",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb161750",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb161760",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb161770",1728,1573,1578,2045,1510,2054,449,960,292,668,1005,789,969,1161,1102,976,431,711,1153,1261,1074,587,843,976
"Zm00001eb161780",66,31,40,311,84,45,11,0,4,107,16,11,174,94,219,1057,70,99,126,81,66,201,66,80
"Zm00001eb161790",98,47,75,124,229,205,28,61,20,302,192,73,347,335,287,7101,443,799,108,217,122,179,167,99
"Zm00001eb161800",0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,1
"Zm00001eb161810",714,887,916,1003,798,1166,301,569,195,490,675,389,543,736,1119,711,326,480,792,836,598,344,553,810
"Zm00001eb161820",318,143,179,330,345,468,63,167,42,112,185,119,189,263,306,511,160,230,97,163,133,87,107,207
"Zm00001eb161830",210,143,195,295,165,212,96,182,62,164,144,151,129,137,166,180,72,109,110,154,107,68,114,58
"Zm00001eb161840",61,59,44,45,55,69,0,0,0,0,0,0,69,117,124,78,50,52,2,10,5,5,2,0
"Zm00001eb161850",420,278,387,1011,761,1110,54,225,43,141,240,109,221,342,309,329,202,227,155,251,150,96,173,165
"Zm00001eb161860",13,19,22,0,0,1,7,19,4,11,11,9,35,8,37,43,21,10,73,65,96,40,53,24
"Zm00001eb161870",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Zm00001eb161880",23,17,36,14,23,8,10,18,6,38,31,32,14,13,10,11,20,12,62,124,56,18,50,51
"Zm00001eb161890",19,34,55,41,54,67,16,26,12,33,44,14,19,23,33,42,33,37,0,0,0,0,0,0
"Zm00001eb161900",273,226,292,657,549,704,90,295,100,221,251,218,343,303,243,464,139,237,100,154,156,111,172,208
"Zm00001eb161910",4,7,7,37,0,0,2,0,2,12,0,3,17,7,1,1,0,2,146,49,154,32,44,30
"Zm00001eb161920",1108,865,893,1587,808,1133,422,712,295,755,1006,626,532,496,657,795,293,400,976,1428,998,638,1165,956
"Zm00001eb161940",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"Zm00001eb161950",175,144,138,157,103,146,72,115,61,75,134,77,94,186,231,193,98,141,233,325,190,121,192,183
"Zm00001eb161970",369,362,299,255,206,312,99,122,56,74,97,59,119,262,246,68,83,91,312,495,389,100,225,324
"Zm00001eb161980",3018,1520,1228,1748,1264,777,1148,1733,1411,323,312,331,965,1143,427,249,125,248,607,1330,910,170,288,197
"Zm00001eb161990",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb162000",188,182,227,462,234,485,100,125,85,187,205,156,248,281,299,306,123,164,183,224,151,143,165,170
"Zm00001eb162010",640,557,566,578,541,553,496,654,289,564,706,530,315,526,690,602,338,420,642,786,578,359,437,383
"Zm00001eb162020",345,229,516,516,355,569,310,427,218,350,441,240,221,328,602,420,187,355,449,711,388,202,303,241
"Zm00001eb162030",869,735,692,1032,744,803,344,555,222,402,546,349,466,659,841,538,253,401,608,781,612,383,482,286
"Zm00001eb162040",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb162050",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb162060",433,244,506,1385,804,1203,204,343,152,265,301,258,442,338,412,387,157,317,246,319,229,153,169,179
"Zm00001eb162070",5,4,2,6,10,3,0,0,0,0,5,5,0,0,0,0,0,0,0,16,3,6,3,0
"Zm00001eb162090",1424,775,1098,2879,1741,1408,878,1399,542,1295,1488,985,857,803,1121,2130,539,890,1464,1483,1443,1024,1034,725
"Zm00001eb162110",3,0,11,1,8,0,0,0,0,0,6,0,1,0,2,2,0,0,1,0,0,0,0,2
"Zm00001eb162120",772,703,732,1256,1098,1233,437,618,329,839,992,716,479,681,902,1092,528,685,545,1112,560,525,822,1103
"Zm00001eb162130",653,604,560,737,598,642,228,419,229,400,371,384,282,390,470,509,249,350,476,838,592,451,533,381
"Zm00001eb162140",57,37,65,52,55,86,14,68,24,73,46,35,22,49,37,81,34,32,35,51,47,19,34,27
